"image_path","split","trade_label","action","trade_bias","decision_state","execution_permission","confidence","chart_direction","direction_probability","structure_setup","structure_setup_source","projection_direction","projection_box_type","projection_confidence","projection_dominance","projection_support","projection_watch_ready","review_bucket","review_priority","review_reasons"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\BUY\00035_000_0acac24af57a.png","BUY","BUY","SELL","SELL","PROJECTED","WAIT_FOR_CONFIRMATION","0.8018","SELL","0.5330","reversal_release","forecast","SELL","pullback","0.7988","0.1325","true","true","hard_negative","1.0000","action_opposes_label|projection_opposes_label|structure_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\BUY\00113_000_068fdba11a49.png","BUY","BUY","SELL","SELL","PROJECTED","WAIT_FOR_CONFIRMATION","0.8153","SELL","0.5438","impulse_chain","forecast","SELL","impulse","0.8869","0.3063","true","true","hard_negative","1.0000","action_opposes_label|projection_opposes_label|structure_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\SELL\00132_000_f0753325f6f2.png","SELL","SELL","BUY","BUY","PROJECTED","WAIT_FOR_CONFIRMATION","0.7576","BUY","0.5297","reversal_release","forecast","BUY","reversal_base","0.6499","0.0000","true","true","hard_negative","1.0000","action_opposes_label|projection_opposes_label|structure_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\SELL\00263_000_ea295fb64799.png","SELL","SELL","BUY","BUY","PROJECTED","WAIT_FOR_CONFIRMATION","0.7539","BUY","0.5333","reversal_release","forecast","BUY","reversal_base","0.7099","0.0000","true","true","hard_negative","1.0000","action_opposes_label|projection_opposes_label|structure_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\SELL\00211_000_1d1272c9ebd5.png","SELL","SELL","HOLD","HOLD","UNCERTAIN","WAIT_FOR_CONFIRMATION","0.0815","SELL","0.6184","reversal_release","sequence","BUY","impulse","0.7837","0.0973","true","false","projection_conflict","0.6873","projection_opposes_label|trade_ready_structure_held"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\SELL\00163_000_de740ed5137b.png","SELL","SELL","BUY","BUY","PROJECTED","WAIT_FOR_CONFIRMATION","0.2374","SELL","0.5769","reversal_release","forecast","BUY","reversal_base","0.6705","0.0000","true","true","projection_conflict","0.5143","projection_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\SELL\00153_000_84a0831ad7a9.png","SELL","SELL","BUY","BUY","PROJECTED","WAIT_FOR_CONFIRMATION","0.2167","SELL","0.5679","reversal_release","forecast","BUY","reversal_base","0.6532","0.0000","true","true","projection_conflict","0.5098","projection_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\BUY\00081_000_c61803be7379.png","BUY","BUY","HOLD","HOLD","UNCERTAIN","WAIT_FOR_CONFIRMATION","0.0835","SELL","0.5000","none","sequence","SELL","impulse","0.7726","0.1573","false","false","projection_conflict","0.4598","projection_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\BUY\00004_000_33586b7c46e3.png","BUY","BUY","HOLD","HOLD","UNCERTAIN","WAIT_FOR_CONFIRMATION","0.2705","BUY","0.5070","none","sequence","SELL","pullback","0.7760","0.1387","false","false","projection_conflict","0.4584","projection_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\SELL\00181_000_538c526f21e2.png","SELL","SELL","HOLD","HOLD","UNCERTAIN","WAIT_FOR_CONFIRMATION","0.1428","SELL","0.5075","none","sequence","BUY","pullback","0.7681","0.0750","false","false","projection_conflict","0.4487","projection_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\BUY\00014_000_79cec4231312.png","BUY","BUY","HOLD","HOLD","UNCERTAIN","WAIT_FOR_CONFIRMATION","0.0839","SELL","0.5206","none","sequence","SELL","pullback","0.7410","0.1065","false","false","projection_conflict","0.4455","projection_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\SELL\00171_000_562a43014b8c.png","SELL","SELL","HOLD","HOLD","UNCERTAIN","WAIT_FOR_CONFIRMATION","0.1243","SELL","0.5119","none","sequence","BUY","pullback","0.7473","0.0481","false","false","projection_conflict","0.4401","projection_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\BUY\00011_000_8e9f8f564417.png","BUY","BUY","HOLD","HOLD","UNCERTAIN","WAIT_FOR_CONFIRMATION","0.0712","SELL","0.5392","none","sequence","SELL","reversal_base","0.7148","0.0000","false","false","projection_conflict","0.4258","projection_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\BUY\00029_000_07377368499b.png","BUY","BUY","HOLD","HOLD","UNCERTAIN","WAIT_FOR_CONFIRMATION","0.0729","SELL","0.5208","none","sequence","SELL","impulse","0.6892","0.0000","false","false","projection_conflict","0.4192","projection_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\SELL\00247_000_cedabe8af9b1.png","SELL","SELL","HOLD","HOLD","UNCERTAIN","WAIT_FOR_CONFIRMATION","0.1898","SELL","0.5173","none","sequence","BUY","reversal_base","0.6843","0.0000","false","false","projection_conflict","0.4179","projection_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\SELL\00240_000_6a40d8b761e5.png","SELL","SELL","HOLD","HOLD","UNCERTAIN","WAIT_FOR_CONFIRMATION","0.1149","BUY","0.5695","none","sequence","BUY","reversal_base","0.6512","0.0000","false","false","projection_conflict","0.4093","projection_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\BUY\00017_000_fea2d06c5c4f.png","BUY","BUY","HOLD","HOLD","UNCERTAIN","WAIT_FOR_CONFIRMATION","0.0793","SELL","0.5446","none","sequence","SELL","fakeout","0.6397","0.0072","false","false","projection_conflict","0.4072","projection_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\SELL\00120_000_6a7608106495.png","SELL","SELL","HOLD","HOLD","UNCERTAIN","WAIT_FOR_CONFIRMATION","0.1274","BUY","0.5338","none","sequence","BUY","impulse","0.6039","0.0000","false","false","projection_conflict","0.3970","projection_opposes_label"
"C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\BUY\00086_000_f685346ec1b1.png","BUY","BUY","BUY","BUY","PROJECTED","WAIT_FOR_CONFIRMATION","0.2173","SELL","0.5432","reversal_release","forecast","BUY","reversal_base","0.6672","0.0000","true","true","projection_conflict","0.3578","structure_opposes_label"
