image_path,source_path,split,trade_label,action,decision_state,execution_permission,label_quality,review_bucket,review_priority,review_reasons,timing_label,raw_projection_direction,raw_next_box_direction,effective_projection_direction,effective_next_box_direction,projection_confidence,projection_dominance,next_box_confidence,structure_setup
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00190_000_210b455c2e61.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2023-06-21 072251.png,train,SELL,HOLD,,,contradictory,projection_conflict,0.9829,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold|trade_ready_structure_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5438,0.1049,0.7503,consolidation_breakout
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00044_000_e87b0fb5d2c2.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot 2025-01-08 134940.png,train,BUY,HOLD,,,review_required,projection_conflict,0.9477,next_box_opposes_trade_label|directional_label_resolved_to_hold|trade_ready_structure_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.4902,0.0568,0.6942,reversal_release
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00151_002_2ca2f5e8717d.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2023-05-04 144906.png,train,SELL,HOLD,,,review_required,projection_conflict,0.9461,next_box_opposes_trade_label|directional_label_resolved_to_hold|trade_ready_structure_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.4881,0.0477,0.6954,consolidation_breakout
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00151_001_2ff84101edb9.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2023-05-04 144556.png,train,SELL,HOLD,,,review_required,projection_conflict,0.9460,next_box_opposes_trade_label|directional_label_resolved_to_hold|trade_ready_structure_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.4880,0.0477,0.6951,consolidation_breakout
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00022_000_4e5de55ad9a8.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot 2023-05-08 203150.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.9162,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5592,0.2076,0.7246,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00178_001_2855ddec0a7e.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2023-06-02 155132.png,train,SELL,HOLD,,,contradictory,projection_conflict,0.9157,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5587,0.2004,0.7273,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00037_000_3fea7234e11b.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot 2024-09-27 100513.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.9102,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5503,0.1934,0.7182,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\val\SELL\00177_000_a50ff84b0d89.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2023-06-02 150835.png,val,SELL,HOLD,,,contradictory,projection_conflict,0.9095,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5499,0.1827,0.7227,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00030_000_9115e8013363.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\Screenshot 2024-08-01 062244.png,train,BUY,HOLD,,,contradictory,projection_conflict,0.9089,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,SELL,SELL,BUY,BUY,0.5482,0.1930,0.7154,none
C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\SELL\00191_000_f56769c961e7.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\SELLS-20260224T225719Z-1-001\SELLS\Screenshot 2023-06-21 082930.png,train,SELL,HOLD,,,contradictory,projection_conflict,0.9089,projection_opposes_trade_label|next_box_opposes_trade_label|directional_label_resolved_to_hold,wait,BUY,BUY,SELL,SELL,0.5485,0.1897,0.7174,none
