split,label,group_index,entry_index,source_path,destination_path,sha256,dhash,is_group_representative
val,BUY,0,0,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\700pips profit.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\val\BUY\00000_000_376c6b30329f.png,376c6b30329faa39d5a7d7a4294d8fee2e39ac1e3524168589e3165fdaaee845,c0f04eae96968633,1
train,BUY,1,0,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\808Fx Standard System 2.0 Binary 2.0.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00001_000_784b73bad6ce.png,784b73bad6ce407c7da0ab4aeb48c727a8414824340405a20feaa45860a0dacb,9084145c9e9c808f,1
train,BUY,2,0,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\808Fx Standard System 2.0 Binary.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00002_000_c51d9ad149d8.png,c51d9ad149d85ec33324dcc159a9c17d134220697c8ecc796645967c2bec81c1,c0c2d4849c9364d6,1
test,BUY,3,0,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\808Fx Standard System 2.0 EURGBP.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\BUY\00003_000_e70450a9b39e.png,e70450a9b39ec02a07c937e0b19199034e4ccc2c29ae33115e4bf812d50dd58b,8184666e661e309b,1
test,BUY,4,0,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\808Fx Standard System 2.0.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\test\BUY\00004_000_33586b7c46e3.png,33586b7c46e3ec46c312cd20c45a05b362af593e6cf73b6d722efed4b57899ab,838492da2626203b,1
train,BUY,5,0,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\AUDJPY Buy trade.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00005_000_a7ba2fbf5555.png,a7ba2fbf555510cc07317f40dcc8a943952e8cc4ef36962e645ce7a96424e175,c680d0b29a4cfe3b,1
train,BUY,6,0,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\AUDUSD Buy Trade with Sl Trail.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00006_000_855dad0a834a.png,855dad0a834a166ef1feefbae7e8202becd26d6b64de418435f0689af9fe858c,8344662ada9ea093,1
train,BUY,7,0,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\EURCAD Binary trade.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00007_000_9b5672f4e347.png,9b5672f4e347d01b96f109e8faf37ee0ae6085df10ec2c62360ed88b58622c3f,c7c2e4c4a6ad4ccd,1
train,BUY,8,0,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\EURCAD Binary.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00008_000_6df513ec22d7.png,6df513ec22d75ceea691d75f9f43741756842525a43d6acf3103ba76288663d8,8000d2e24e4e3496,1
train,BUY,9,0,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\808 Memory\BUYS-20260224T225615Z-1-001\BUYS\EURGBP GFE CLEAR.png,C:\Users\thaba\OneDrive\Documents\The 808 Vision 2026\phoenixguard\data\clean_split\train\BUY\00009_000_e9f83a6bcc0e.png,e9f83a6bcc0e75dfbccfa4de7773e4fd30a27a5abba4c33a4418ca6e6b1c8226,c2e062f8b287cfeb,1
